product_image,product_name,product_price,product_discount
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/the-serif-ls01takxxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"The Frame QLED 4K TV (55"") 55LS03AAK",₹ 889,30% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/the-serif-ls01takxxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"The Frame QLED 4K TV (50"") 50LS03AAK",₹ 739,29% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/the-serif-ls01takxxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"The Frame QLED 4K TV (43"") 43LS03AAK",₹ 589,30% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/the-serif-ls01takxxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"The Frame QLED 4K TV (65"") 65LS03AAK",₹ 1199,27% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/qled-4k-serif.jpg?$PD_GALLERY_L_SHOP_JPG$,"QLED 4K The Serif (55"") 55LS01TAK",₹ 899,26% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/qled-4k-serif.jpg?$PD_GALLERY_L_SHOP_JPG$,"QLED 4K The Serif (43"") 43LS01TAK",₹ 599,27% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue60aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (43"") 43AUE60",₹ 369,29% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue70aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (43"") 43AUE70",₹ 389,25% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue60aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (50"") 50AUE60",₹ 479,27% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue70aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (50"") 50AUE70",₹ 519,17% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue60aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (55"") 55AUE60",₹ 519,16% Off
